0,0,0
0,0.1,0.5
0,0.5,2
0,1,10
0,2,0.1
0,5,1
0,10,5
0.1,0,10
0.1,0.1,0.1
0.1,0.5,1
0.1,1,5
0.1,2,0
0.1,5,0.5
0.1,10,2
0.5,0,5
0.5,0.1,0
0.5,0.5,0.5
0.5,1,2
0.5,2,10
0.5,5,0.1
0.5,10,1
1,0,2
1,0.1,10
1,0.5,0.1
1,1,1
1,2,5
1,5,0
1,10,0.5
2,0,1
2,0.1,5
2,0.5,0
2,1,0.5
2,2,2
2,5,10
2,10,0.1
5,0,0.5
5,0.1,2
5,0.5,10
5,1,0.1
5,2,1
5,5,5
5,10,0
10,0,0.1
10,0.1,1
10,0.5,5
10,1,0
10,2,0.5
10,5,2
10,10,10
